"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPAC1006.03c",65.2392631240812,-1.14218977477409,0.178405672568089,-6.40220548109632,1.53148359384886e-10,1.32633463588716e-08
"SPAC1071.02",60.0268599331115,-1.21462156723603,0.261897681409523,-4.63777136437018,3.52186056081031e-06,0.000113058933118193
"SPAC22F3.08c",117.015433091307,-1.33969679826141,0.293804626625833,-4.55982199343492,5.11969997836316e-06,0.000155297566010349
"SPAC23C11.02c",18.6530157156377,-1.21317662406211,0.346429281987236,-3.50194595879112,0.000461873291091475,0.00774245490592814
"SPAC23E2.01",230.531346964783,-1.20807436403261,0.287789553448288,-4.19777003563016,2.695561460279e-05,0.000670731503983486
"SPAC25G10.06",22.4409109229694,-1.25020786165601,0.394447536713643,-3.16951621012054,0.00152692940689753,0.0216145340487495
"SPAC25H1.06",19.2302417217344,-1.25969382812923,0.436125757026385,-2.88837292417246,0.00387240462282599,0.0461932911000029
"SPAC26A3.04",91.7429942174923,-1.04888040937213,0.265859734663204,-3.94523981113902,7.97201541378792e-05,0.00167045191400753
"SPAC328.10c",64.2576270559284,-1.09710305848338,0.172195249013252,-6.37127368362494,1.87464768169313e-10,1.53096227338272e-08
"SPAC3C7.08c",62.3501191430313,-1.51861118382766,0.41070959695023,-3.6975303112084,0.000217707230508647,0.0039850432710922
"SPAC3F10.16c",11.8005982900647,-1.12106708531777,0.370848263497752,-3.02298054396733,0.00250298334959999,0.0324065120669754
"SPAC3G6.02",3.12844993914021,-3.55356857741741,1.03704310664625,-3.42663535839843,0.00061110909859387,0.00973191239510738
"SPAC3H5.12c",105.809883499915,-1.20552646881607,0.299153326895778,-4.0297946251357,5.58256057816626e-05,0.00124338849240976
"SPAC4G9.16c",26.8973957032867,-1.21868133179398,0.303966196150786,-4.0092659882135,6.09077788446742e-05,0.00131797924350766
"SPAC607.02c",11.5997578813117,-1.68549327307669,0.448996642375721,-3.75391063986235,0.000174096950466367,0.00336059871051745
"SPAC9G1.03c",125.244550686441,-1.7447227536193,0.37866723092271,-4.6075356174018,4.07469423469169e-06,0.000125999040169835
"SPAPB17E12.05",24.5601040989166,-1.93085120767651,0.360532576863956,-5.35555267840638,8.5295291028314e-08,3.72144523185178e-06
"SPAPB1E7.12",69.2998661393543,-1.5066434913345,0.38077081557084,-3.95682502367147,7.59525226393242e-05,0.0016020449311672
"SPBC11C11.09c",9.18642936476354,-2.22265785145348,0.541957710738093,-4.10116473557769,4.11075771088785e-05,0.000954493992454812
"SPBC1604.08c",34.8655687100754,-1.03773143126925,0.241628925122976,-4.29473181135538,1.74904641711659e-05,0.00044925103536422
"SPBC1604.12",82.754683155897,-1.0036585781339,0.328771149961681,-3.05275745226087,0.00226749131856996,0.0300914993735222
"SPBC215.05",108.06026751477,-2.08744936263181,0.308445357731358,-6.76764720333344,1.30893451378316e-11,1.54405793570347e-09
"SPBC32F12.11",78.8197231923762,-1.49155295768706,0.277568553877222,-5.37363810436115,7.71636535532907e-08,3.46149628967931e-06
"SPBC365.03c",27.8136754920481,-1.76803887857679,0.385186606979226,-4.59008399186669,4.43067683982101e-06,0.000135689478219518
"SPBC3B9.13c",74.0631923713701,-1.04748694039613,0.193459086979732,-5.41451402851846,6.14553853695707e-08,2.83674496234902e-06
"SPBC725.09c",257.124084502786,-1.38268041550965,0.200323372052344,-6.9022421165532,5.11880926008699e-12,6.52136299735082e-10
"SPBC839.05c",110.535965705196,-1.17245184254384,0.266261707987362,-4.40338136266854,1.06576576541419e-05,0.000287666437529169
"SPBC9B6.07",11.3296386451374,-1.86728809334422,0.546230829958349,-3.41849634061594,0.000629681645326704,0.00997779124559977
"SPBP22H7.08",17.9148852022282,-1.61759520709623,0.411293581621694,-3.93294541752438,8.39112967278583e-05,0.00174678091554398
"SPCC162.12",75.6646732370677,-1.0216535219285,0.25479107228404,-4.0097697017797,6.07779969644933e-05,0.00131797924350766
"SPCC18.17c",66.090095632818,-1.17922436197457,0.272859364139239,-4.32172949495264,1.54810915229033e-05,0.000400872166670302
"SPCC364.03",21.2074979968631,-2.11861577939777,0.345363048960672,-6.13445991333897,8.54489862264688e-10,5.66989627356881e-08
"SPCC5E4.07",6.02249838327097,-1.66791366008574,0.55662660354322,-2.99646773881917,0.00273127136413206,0.0344988824494867
"SPCC613.06",26.9793429251481,-1.53879278812903,0.28716177634565,-5.35862679118135,8.38568768674199e-08,3.70950212253795e-06
"SPCC970.05",36.2510128136877,-1.31968735071884,0.361402947141515,-3.65156776157138,0.000260644305538748,0.0046377213024632
"SPCP1E11.10",28.2723332150874,-1.27075290295611,0.307863701987893,-4.12764770497718,3.66493020788991e-05,0.000864652052750323
