"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPAC1071.11",87.4309413699904,1.99994702292726,0.239262158853467,8.358810404917,6.33538313323284e-17,2.88259932562094e-14
"SPAC1093.02",570.668533552672,1.44237340137031,0.286387095440508,5.03644690816714,4.74252571372261e-07,1.79820766645316e-05
"SPAC1296.02",95.0269309037226,1.85711448687248,0.290228343278144,6.39880469941799,1.56597987211801e-10,1.32633463588716e-08
"SPAC13F5.03c",235.611461909482,1.87294612303052,0.24714446043721,7.57834555432558,3.49989205368253e-14,8.57473553152219e-12
"SPAC13G7.11",299.830024033942,1.16960958699215,0.155811125421538,7.50658583479095,6.06893496034294e-14,1.28863718991282e-11
"SPAC1486.01",69.9783942553125,1.19957837538978,0.191402244821023,6.26731612532282,3.67323965606602e-10,2.65892461467506e-08
"SPAC1486.08",30.9767544438906,2.03327197045407,0.457550644913883,4.44381839050135,8.83762118013905e-06,0.000248611124278003
"SPAC1556.08c",29.3493641636873,1.34580057011587,0.362691949990859,3.71058847639102,0.000206778010646437,0.00385516214646615
"SPAC15E1.06",84.4271366577592,1.05062511475128,0.216774324036117,4.84663079644173,1.2557580876391e-06,4.49392079677587e-05
"SPAC1610.02c",45.8119920310981,2.27137481700319,0.375340549104811,6.05150395399706,1.43499762210006e-09,8.78936043536285e-08
"SPAC1687.12c",15.2374046272643,2.05798227975436,0.659014829374012,3.12281634346408,0.00179129487231619,0.0249387604833598
"SPAC1782.08c",28.3393516512795,1.43947689135406,0.379753268073048,3.79055827131728,0.000150309063187556,0.00295515040896522
"SPAC17G8.13c",177.120589134329,1.49844472466091,0.282783235953956,5.29891639299612,1.16491957312505e-07,4.88193268474118e-06
"SPAC17H9.12c",140.586262600821,1.81836507530602,0.280095361921521,6.49194996601015,8.47324019045888e-11,8.1779606080641e-09
"SPAC19G12.13c",9.98614523292342,1.55695785375823,0.423112820547886,3.67976997658009,0.000233444428933544,0.00420068082572507
"SPAC19G12.15c",29.193321917926,1.69101634907541,0.236223736566359,7.15853696015163,8.15426049742557e-13,1.18051453110457e-10
"SPAC1B2.04",18.8232960570824,2.60630104620711,0.449467164205503,5.79864616098068,6.68524214414361e-09,3.67112003949955e-07
"SPAC1B3.01c",140.550034262963,2.55876675484992,0.397264381631463,6.44096695591415,1.18714719522224e-10,1.08030394765224e-08
"SPAC1B3.17",66.4564179773392,1.33055084648906,0.242870793979962,5.47843083429306,4.29114261708849e-08,2.0708013993071e-06
"SPAC222.12c",4.66461425654477,2.64381537134397,0.879518110649927,3.00598172946127,0.00264724903489698,0.0338613982977786
"SPAC227.17c",7.36490930394032,2.1733736257346,0.530295412563978,4.0984205675594,4.15978941534873e-05,0.000954493992454812
"SPAC22A12.11",66.8614361796509,1.39893094143176,0.322086284633413,4.34334216691025,1.40331307407538e-05,0.000369384474457032
"SPAC22H10.09",90.5942355346176,2.49016395164332,0.262834462462684,9.47426729474966,2.6863936850886e-21,3.67604592166175e-18
"SPAC23C11.08",26.2904442671038,1.64481358648843,0.354780716837427,4.63614144858427,3.54973102411909e-06,0.000113058933118193
"SPAC25B8.18",280.351302695112,1.33121994280519,0.21938410641862,6.06798716888364,1.29523250544206e-09,8.08885398006466e-08
"SPAC2C4.05",76.3011758163013,1.3920533218057,0.255488360071284,5.44859782033631,5.0768466767622e-08,2.41339651723695e-06
"SPAC2E1P3.05c",126.982662168097,1.06041100541194,0.361587443960808,2.93265439141432,0.0033607777691976,0.0411695276726706
"SPAC2F7.17",74.8418416140469,1.90012232579861,0.256675047278737,7.40283228129754,1.33310081031981e-13,2.65370380054287e-11
"SPAC31A2.11c",24.3602916566232,2.25989615297301,0.543400309795713,4.15880541883128,3.19916269845856e-05,0.000771919181408373
"SPAC3A12.12",111.83526978075,2.0881705942114,0.328836152460334,6.350185582053,2.15055330182368e-10,1.61203296701115e-08
"SPAC4G8.11c",11.6941487754437,3.23095707370335,0.508841901412141,6.3496285678062,2.15835417516185e-10,1.61203296701115e-08
"SPAC4G9.13c",52.7050596613342,1.33670626853601,0.222753175772959,6.00084045445193,1.96298799316009e-09,1.1796446713613e-07
"SPAC57A10.12c",87.6303966841554,1.17634437090596,0.253674292643655,4.63722342002709,3.5312065460937e-06,0.000113058933118193
"SPAC5D6.12",31.1683839354435,2.07556504767319,0.39078876093961,5.31121990991429,1.08893832304164e-07,4.6868494039022e-06
"SPAC637.11",128.712581276617,1.71437685665023,0.304845756729384,5.62375174594313,1.86854126657952e-08,1.00869558204335e-06
"SPAC6B12.12",20.7101096812448,1.43837809827844,0.489610341527095,2.93780170940045,0.00330548366548397,0.0408060677308777
"SPAC8C9.09c",80.0726830265003,1.91147668208925,0.476919240969836,4.00796721516662,6.1243619478535e-05,0.00131797924350766
"SPAC9E9.09c",85.4961116859467,1.12190675315992,0.213892402840001,5.24519215392209,1.56119530942227e-07,6.29418615254423e-06
"SPACUNK4.12c",361.807243926848,1.53944381573872,0.17976372948609,8.56370648372556,1.09295864138135e-17,5.80178878799933e-15
"SPAP27G11.14c",18.3233853361154,1.7649382026231,0.387768857661979,4.55152126775899,5.32594128112912e-06,0.000160022661664172
"SPAPB18E9.01",16.0203501620818,1.53042134128251,0.413230289709884,3.7035555703261,0.000212598583554555,0.00391402594578762
"SPAPB1E7.11c",16.0422969105275,2.00547166030333,0.666158437705587,3.01050252731267,0.00260815777446703,0.0336315081444432
"SPBC106.19",12.2396271426824,1.95573084933519,0.643880745549791,3.03741160587936,0.00238619378087872,0.0311476524266341
"SPBC1105.10",69.8140190650954,1.13033917147806,0.240650694398257,4.69701188398585,2.63995097275815e-06,8.75858734191116e-05
"SPBC119.06",22.5185232958439,2.2893510623724,0.527741180741889,4.33801860820123,1.4377298485908e-05,0.00037534176784932
"SPBC1198.11c",69.2746479356302,1.4199710889152,0.275866615358297,5.14731036617437,2.6424791785202e-07,1.05203702294835e-05
"SPBC1198.14c",143.503371296305,1.94046103422452,0.35305876265833,5.49614183093476,3.88190338476614e-08,1.90213265853541e-06
"SPBC1215.01",180.298950832181,1.36328786774282,0.333858148845249,4.08343445399839,4.43749497538219e-05,0.00100953010689945
"SPBC1271.15c",94.4975563989724,1.73091321118658,0.283737235784916,6.10040908588636,1.0579734376544e-09,6.73929079785854e-08
"SPBC1289.06c",186.418942992102,1.4811509431795,0.268368415464971,5.51909560822677,3.40748775528551e-08,1.72267436517212e-06
"SPBC12D12.07c",79.6504510495502,2.8176347346601,0.37501641550792,7.51336373060873,5.7627124257696e-14,1.28863718991282e-11
"SPBC13E7.04",7.50229452374885,4.87558071190034,1.05680552843001,4.61350795462198,3.95929103435672e-06,0.000123630803376727
"SPBC1604.07",12.3556871777307,2.76932375417425,0.667656847061411,4.14782498878428,3.35648817478565e-05,0.000797792151991963
"SPBC16A3.03c",33.4940871340599,2.58223357023192,0.539911894332323,4.78269435687321,1.72961016472515e-06,5.92344986521462e-05
"SPBC16A3.08c",220.42554506703,1.15064441449598,0.138681616778844,8.29702192130426,1.06753686042508e-16,4.23047842323817e-14
"SPBC16D10.07c",811.179810632181,1.10598198546,0.16065761105585,6.88409330993676,5.81567467876553e-12,7.12420148148777e-10
"SPBC16E9.18",249.069236176025,1.27997259968553,0.135479354517617,9.44773175398536,3.46252363107857e-21,3.67604592166175e-18
"SPBC1703.13c",25.6120062208422,1.54180802859759,0.395186226939993,3.90147207440937,9.56094926651599e-05,0.0019646208654099
"SPBC1709.09",16.9033858741998,1.00362192367451,0.305338323661285,3.28691764479535,0.001012904514171,0.0154358893666729
"SPBC18H10.06c",71.2793350879489,1.06986915874753,0.280194301879587,3.81831162008179,0.000134368130656714,0.00269158802604802
"SPBC18H10.11c",76.2728564745693,2.09193729186148,0.520472914708027,4.01930097176143,5.83710668364768e-05,0.00129105449912624
"SPBC19C7.02",17.8707609975972,1.68157072777634,0.378388608757216,4.44403105394561,8.82888527696427e-06,0.000248611124278003
"SPBC19G7.04",299.566139469314,1.33249842013013,0.241890323075171,5.50868841378178,3.61517158338454e-08,1.79911273329371e-06
"SPBC25B2.04c",80.1026030878148,1.13962246404743,0.25327342139587,4.49957385092606,6.80898223247397e-06,0.000198959710187428
"SPBC25D12.06",50.4894596611289,1.99817617690867,0.277153170882284,7.20964573685993,5.60976297995877e-13,8.93354754558434e-11
"SPBC26H8.03",87.489959972152,1.04698222034847,0.327089416579673,3.20090521820183,0.00136996588174115,0.0200153272171815
"SPBC26H8.14c",83.7107287493338,2.09147773166202,0.496326873037756,4.21391193038005,2.50985186176713e-05,0.000634434776168914
"SPBC29A10.13",36.5642940139245,2.42259000182722,0.412195481532766,5.87728422645178,4.17051792184533e-09,2.37198206804953e-07
"SPBC29A3.21",274.0537483286,1.3922689449266,0.211505177822111,6.58267073772343,4.62071692626399e-11,4.74741400327446e-09
"SPBC2D10.17",257.869115930998,1.05881821037465,0.253485775444788,4.17703205837391,2.95337414095397e-05,0.000729185785964217
"SPBC2G2.01c",84.2408588929513,1.48445348785919,0.232047098696446,6.39720770566965,1.58244006793445e-10,1.32633463588716e-08
"SPBC2G2.07c",106.386599726499,2.01207867193605,0.301088025565406,6.68269243905537,2.34591593963707e-11,2.66847938133717e-09
"SPBC2G2.08",357.808100233772,1.19797243451096,0.243700883590191,4.91574924498624,8.84435453955371e-07,3.31403167158571e-05
"SPBC30B4.06c",68.7634279612392,2.07553981162387,0.3391875627896,6.11915069807951,9.40754054379864e-10,6.11490135346911e-08
"SPBC336.13c",61.2271969636453,2.11189830417408,0.242882041476255,8.69516038047857,3.4634023249986e-18,2.20618728102411e-15
"SPBC337.15c",86.321190738631,2.08119416401707,0.261637157410248,7.95450533332979,1.79848626069316e-15,4.77348228358977e-13
"SPBC3B8.02",33.2930166700938,1.75108538734516,0.459072828992367,3.81439561820435,0.000136516622922627,0.00271753402505355
"SPBC3H7.03c",86.9706530624378,1.60754868070735,0.288440429219551,5.57324326918033,2.50040026440926e-08,1.30553685936778e-06
"SPBC3H7.12",86.5482979349736,1.31319180913118,0.268311655486436,4.89427791256563,9.86673273818413e-07,3.61213146794442e-05
"SPBC4F6.08c",241.054920283614,1.81423999087465,0.295485201980763,6.13986750846753,8.25903366782144e-10,5.59681324085346e-08
"SPBC609.02",312.239272103649,1.29012262356913,0.220346275744507,5.85497812118703,4.77072816287814e-09,2.6657489822398e-07
"SPBC646.13",83.7097839231458,3.01810396127204,0.453392756663393,6.65670970017885,2.8002550134434e-11,3.07545248890249e-09
"SPBC660.10",104.398612079078,1.06606698145348,0.267802568392128,3.98079446307812,6.86853210181522e-05,0.00145841831628543
"SPBC691.04",75.110064487323,1.59691072054904,0.334989845390328,4.76704217313909,1.86950188383496e-06,6.33442925533442e-05
"SPBC776.15c",190.658960621415,1.7869083511046,0.170693603781568,10.4685138254581,1.20520233256426e-25,3.83856942921715e-22
"SPBC800.03",47.6170011457681,1.3045388764595,0.373209390437845,3.49546101969469,0.000473243571809133,0.00789152238854498
"SPBC947.15c",124.585572653765,1.83121389183543,0.225651487153729,8.11523076995226,4.84862526938032e-16,1.54428714829763e-13
"SPBP4H10.03",28.5303379406803,2.39346273714434,0.471765681089527,5.07341426705038,3.90740560783193e-07,1.51113438265533e-05
"SPBPB7E8.02",70.5913324894253,1.24863580767503,0.282447515442849,4.42077107924738,9.83493215349973e-06,0.000267728708623048
"SPBPJ4664.01",40.3536855547537,2.22591402283299,0.302354125628687,7.36194360902015,1.81251543517279e-13,3.39580097707374e-11
"SPCC1020.06c",331.395797877591,1.7445550255551,0.274405066976569,6.3575904219876,2.04943036357381e-10,1.61203296701115e-08
"SPCC11E10.08",51.8734311557496,1.37589178387459,0.310060229820939,4.43749843270507,9.10103844276853e-06,0.000252059195132328
"SPCC1322.01",63.5439970611022,1.70421648222535,0.405088513963196,4.20702247405658,2.58757417115721e-05,0.000648931002766592
"SPCC1393.10",31.2123109214567,1.91490857787358,0.377550102777164,5.07193234431137,3.93796401131531e-07,1.51113438265533e-05
"SPCC1442.03",61.7613692807861,1.69344404350229,0.244713423093103,6.9201109693848,4.51289992877363e-12,5.98899428047668e-10
"SPCC1442.15c",72.687429305402,1.41339710731587,0.312869250318532,4.51753282202355,6.25643324564187e-06,0.000184506850808976
"SPCC162.11c",383.377346208421,1.28130091528052,0.198853322695941,6.44344735058668,1.16789796354891e-10,1.08030394765224e-08
"SPCC1672.04c",45.9678930919486,1.91266734020644,0.665949279989472,2.87209161069546,0.00407764740592926,0.0477853545827339
"SPCC1682.01",93.6906812113714,2.35877051286787,0.393365073911308,5.9963902982391,2.01751790182445e-09,1.18996194765016e-07
"SPCC16A11.07",66.7721470978897,2.10200222119865,0.387359229030718,5.42649319717632,5.74720146058166e-08,2.6918877429342e-06
"SPCC1739.09c",242.186143354211,1.22756876244996,0.16862368809564,7.27993069249978,3.33991719564629e-13,5.59875593059654e-11
"SPCC1840.09",99.560542877384,1.80778962559778,0.27767147565504,6.51053415311429,7.48840398855898e-11,7.45330209486261e-09
"SPCC191.07",41.669156329763,1.98182580435052,0.245162038703366,8.08373847285726,6.28109534634223e-16,1.8186626071e-13
"SPCC31H12.05c",734.812696990257,1.30950660102435,0.211390306569774,6.19473344011692,5.83837515785735e-10,4.0424401908208e-08
"SPCC320.12",2.47554537406545,4.76415535846625,1.54360911943435,3.08637419828932,0.00202613662556335,0.0272288824996593
"SPCC4B3.17",40.8892401703117,2.43416681871329,0.293855010083893,8.28356412238254,1.19542561410184e-16,4.23047842323817e-14
"SPCC4G3.04c",68.1211579154475,1.76616365004754,0.396311484269887,4.45650383637328,8.33071108734603e-06,0.000239038872190965
"SPCC613.10",18.5325016171778,2.23686360523926,0.422135881467413,5.29891843702923,1.16490653384583e-07,4.88193268474118e-06
"SPCC613.12c",54.4464005688682,1.26349929088069,0.201982059401412,6.25550256604554,3.96237826696343e-10,2.80448328450634e-08
"SPCC757.03c",577.730052558431,1.09569692997316,0.351691409508594,3.11550666393627,0.00183629199509626,0.0253185714475393
"SPCC777.13",45.447430003199,1.42599983340963,0.322476488469695,4.42202729314214,9.77791013999973e-06,0.000267728708623048
"SPCC794.08",41.9127132351158,1.22352218687935,0.418192817269922,2.92573697192323,0.00343641345172131,0.0417747207776045
