SystematicID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPAC1002.17c,1701.363864,5.087548652,1.387573485,3.666507546,0.000245886,0.005140496
SPAC1071.04c,36.26728515,6.724949208,1.827116679,3.680634787,0.000232654,0.00493005
SPAC10F6.05c,35463.44954,10.92087042,2.18777028,4.991781139,5.98E-07,2.00E-05
SPAC1142.08,608.5457104,5.867660955,1.05166156,5.579419443,2.41E-08,9.64E-07
SPAC11E3.01c,1873.948212,6.769353602,0.956581055,7.076612661,1.48E-12,9.39E-11
SPAC1296.02,10.02825298,3.817713746,1.05163312,3.630271502,0.000283123,0.005726811
SPAC12B10.07,4371.637532,7.447913781,0.841709408,8.848557126,8.87E-19,9.21E-17
SPAC13G6.02c,74.40609566,3.702010735,0.758278464,4.882125644,1.05E-06,3.34E-05
SPAC13G6.10c,70.17996563,3.388990821,0.873421188,3.880133512,0.000104399,0.002356546
SPAC144.08,52881.35739,13.05298524,1.426281321,9.151760634,5.60E-20,6.02E-18
SPAC14C4.06c,84.76360031,4.462398725,0.932036304,4.787794969,1.69E-06,5.25E-05
SPAC14C4.12c,323.5274488,4.693792453,1.175834471,3.991881994,6.56E-05,0.001512528
SPAC14C4.16,204.1926588,4.925473351,0.966377275,5.096843106,3.45E-07,1.20E-05
SPAC167.01,39.02562363,2.46254312,0.685519185,3.592230785,0.000327859,0.006463808
SPAC16A10.02,2814.881013,5.09869654,0.972794458,5.241288637,1.59E-07,5.78E-06
SPAC16A10.04,1200.540236,4.734320422,1.07201985,4.416261903,1.00E-05,0.000276828
SPAC16A10.05c,2793.3088,12.56572351,1.907124717,6.588831552,4.43E-11,2.47E-09
SPAC16C9.02c,1879.652189,5.976989702,1.399488257,4.270839483,1.95E-05,0.000513454
SPAC1783.08c,70.15277267,3.580701681,0.724337674,4.943414944,7.68E-07,2.49E-05
SPAC17A2.09c,18.1417132,4.682641202,0.745827616,6.278449741,3.42E-10,1.81E-08
SPAC17C9.15c,76.15849567,3.870559064,0.980432755,3.947806768,7.89E-05,0.001806481
SPAC17G6.15c,553.1468177,5.197507788,1.325708818,3.920550063,8.83E-05,0.002008768
SPAC17H9.13c,517.7265,6.685184207,1.665065078,4.014968722,5.95E-05,0.001413727
SPAC1834.05,277.532345,5.284886325,1.182656947,4.468655377,7.87E-06,0.000220892
SPAC1F3.09,65165.84382,10.58441752,0.424013702,24.96244217,1.56E-137,1.62E-134
SPAC227.05,1105.831859,6.485928805,1.08321811,5.987648051,2.13E-09,1.04E-07
SPAC22A12.07c,64.34137362,3.539804712,0.786008464,4.503519838,6.68E-06,0.000192776
SPAC22E12.05c,3300.93839,7.876522995,1.623267191,4.852265259,1.22E-06,3.84E-05
SPAC22E12.11c,766.0877529,4.769596517,0.934045661,5.106384746,3.28E-07,1.15E-05
SPAC22E12.19,875.0753278,6.971809047,0.926497648,7.524907441,5.28E-14,4.21E-12
SPAC22F3.06c,16.02372085,3.961773373,0.88396371,4.481828076,7.40E-06,0.000211346
SPAC22F8.09,1116.076409,5.234825882,1.149091543,4.555621275,5.22E-06,0.00015349
SPAC23C4.08,1249.124008,5.908559054,1.023212961,5.774515449,7.72E-09,3.34E-07
SPAC23E2.01,4166.953608,6.843109106,1.161625228,5.890978383,3.84E-09,1.76E-07
SPAC23H4.16c,689.2187229,4.118120516,1.122938558,3.66727145,0.000245153,0.005140496
SPAC24B11.10c,741.5151465,4.387165476,1.0424143,4.208658187,2.57E-05,0.000655916
SPAC26A3.09c,3499.179779,6.299973032,1.059613252,5.945540054,2.76E-09,1.28E-07
SPAC26F1.10c,3659.875693,8.826093322,0.777798152,11.34753702,7.63E-30,1.70E-27
SPAC27E2.02,2771.046176,8.231449128,0.825362576,9.973131039,2.00E-23,2.96E-21
