SystematicID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPAC1071.11,38.44383615,-3.539441778,0.628599659,-5.630677217,1.80E-08,1.65E-07
SPAC1093.03,90.97295946,-4.687544888,0.535948968,-8.746252295,2.21E-18,1.45E-16
SPAC10F6.07c,99.68571916,-2.095683413,0.391542205,-5.352381906,8.68E-08,6.64E-07
SPAC10F6.08c,32.21774929,-3.072870476,0.608288312,-5.051667799,4.38E-07,2.93E-06
SPAC10F6.13c,48.97487018,-4.409343532,0.688713913,-6.402286128,1.53E-10,2.41E-09
SPAC10F6.16,66.99801688,-4.561341849,0.618497593,-7.374874046,1.65E-13,5.12E-12
SPAC1142.07c,21.14419986,-3.575086816,1.056805105,-3.382919705,0.000717196,0.002216335
SPAC11E3.03,33.06969552,-3.249339216,0.786074888,-4.133625519,3.57E-05,0.000154489
SPAC11E3.11c,62.59268762,-2.783946516,0.434777168,-6.403157114,1.52E-10,2.41E-09
SPAC11G7.02,15.17964293,-4.13276643,1.227007913,-3.368166078,0.0007567,0.00232
SPAC12B10.02c,47.94935419,-3.682416184,0.800641229,-4.599333698,4.24E-06,2.30E-05
SPAC12B10.12c,40.95927477,-2.919665719,0.682568869,-4.277466866,1.89E-05,8.76E-05
SPAC12B10.13,125.5802209,-2.211486891,0.300321477,-7.363732064,1.79E-13,5.52E-12
SPAC12B10.14c,63.99809683,-7.414910346,1.155687273,-6.416017999,1.40E-10,2.25E-09
SPAC12G12.13c,127.4082406,-3.980157993,0.42715737,-9.317779039,1.19E-20,1.06E-18
SPAC13C5.02,29.98657179,-4.289350489,1.12070251,-3.827376533,0.000129516,0.000481436
SPAC13C5.07,36.49502462,-3.166205817,0.631683601,-5.01232866,5.38E-07,3.52E-06
SPAC13D6.03c,77.6329808,-3.527501689,0.410205113,-8.599360604,8.02E-18,4.80E-16
SPAC13F5.03c,160.0255574,-2.585686665,0.297732148,-8.6846069,3.80E-18,2.37E-16
SPAC13G6.09,32.21967276,-3.848807543,0.886226965,-4.342914056,1.41E-05,6.71E-05
SPAC13G7.03,88.54876756,-5.126503616,0.554183041,-9.250560261,2.23E-20,1.88E-18
SPAC13G7.12c,161.7765558,-2.059344953,0.298062422,-6.909106291,4.88E-12,1.03E-10
SPAC140.01,29.68625216,-4.919214295,0.867462778,-5.670807346,1.42E-08,1.34E-07
SPAC140.02,37.91820033,-4.220303284,0.672057272,-6.279678028,3.39E-10,5.05E-09
SPAC144.02,25.84716018,-3.717316164,0.852864614,-4.358623987,1.31E-05,6.28E-05
SPAC144.03,43.78411139,-4.9570877,0.716003137,-6.923276512,4.41E-12,9.55E-11
SPAC144.06,69.93023737,-2.382440568,0.50062367,-4.758945117,1.95E-06,1.13E-05
