Gene,FC_2d,p.adj_2d,FC_21d,p.adj_21d,,,,,,
SPAC1002.08c,-0.93010761,5.99E-05,-1.723815915,3.62E-12,,,,,,
SPAC1002.11,-0.921190051,0.001183411,-1.395325794,8.38E-08,,,,,,
SPAC1002.12c,1.156306243,5.11E-15,1.920866468,1.17E-46,,,,,,
SPAC1002.16c,-2.533188442,1.45E-13,-1.551140275,4.57E-08,,,,,,
SPAC1002.17c,2.449852026,1.84E-29,1.86969619,1.36E-20,,,,,,
SPAC1002.19,5.834785097,5.07E-154,5.160418042,7.85E-171,,,,,,
SPAC1006.01,1.855021722,2.36E-44,1.885538194,1.75E-40,,,,,,
SPAC1006.02,-1.324554368,2.97E-11,-0.651238523,3.64E-05,,,,,,
SPAC1006.05c,1.613170426,1.34E-27,1.227760507,8.61E-15,,,,,,
SPAC1006.08,-1.340470882,2.36E-10,-1.106025597,1.55E-08,,,,,,
SPAC1006.09,1.402525195,3.14E-21,1.79103419,3.13E-50,,,,,,
SPAC1039.01,3.475050849,2.23E-85,3.556229615,5.34E-72,,,,,,C
SPAC1039.02,0.817206173,4.46E-08,1.021626968,1.21E-14,,,,,,
SPAC1039.03,1.11792285,6.14E-10,2.069379809,3.16E-44,,,,,,
SPAC1039.04,0.500008664,0.025993945,2.452869648,2.04E-50,,,,,,
SPAC1039.05c,1.385689859,1.16E-20,1.657920085,6.85E-55,,,,,,
SPAC1039.07c,1.125783696,0.056205043,1.29980299,0.006712137,,,,,,
SPAC1039.09,4.814109331,3.03E-132,6.189269452,0,,,,,,
SPAC1039.10,2.01321859,1.51E-23,2.99668099,7.15E-112,,,,,,
SPAC105.01c,0.526468928,0.002357995,1.011435991,6.61E-14,,,,,,
SPAC1071.03c,-0.754533998,0.000451375,-1.386026822,1.40E-13,,,,,,
SPAC1071.04c,-0.867748846,0.037053741,-1.356727695,0.002722807,,,,,,
SPAC1071.05,-0.564087283,0.001218848,-1.206164219,3.09E-16,,,,,,
SPAC1071.06,-0.84908737,8.80E-07,-1.225483618,1.03E-17,,,,,,
SPAC1071.09c,-0.704455741,7.01E-05,-1.049617735,4.08E-11,,,,,,
SPAC1071.12c,-2.044193029,0.046963809,-3.352450283,0.007878085,,,,,,
SPAC1093.01,2.191944517,6.24E-43,2.040752208,4.19E-51,,,,,,
SPAC1093.02,-0.557012326,9.05E-05,-1.520064526,3.55E-29,,,,,,
