Gene,FC_2d,FC_21d
SPAC922.05c,-1.138663,1.089704
SPAC11D3.09,-1.299065,1.640031
SPAC869.05c,-1.410094,1.515782
SPBC1289.17,-1.48292,1.809141
SPAC212.06c,-1.687254,2.206884
SPBC29A10.08,0.200651,-1.496668
SPBC1685.01,0.175262,-1.117125
SPAC1142.04,0.013296,-1.151083
SPAC17H9.05,-0.083814,-1.180813
SPAC110.04c,-0.084925,-1.131924
SPAC20G8.09c,-0.059878,-1.023353
SPAC22E12.13c,-0.081179,-1.01996
SPBC19C7.06,-0.104843,-1.076504
SPBC215.06c,-0.123058,-1.112674
SPAC17G8.04c,-0.189063,-1.126843
SPBC29B5.04c,-0.239715,-1.001662
SPBC1718.03,-0.265844,-1.049275
SPCC1827.01c,-0.242892,-1.139048
SPAC1782.10c,-0.292992,-1.148438
SPAC22A12.15c,-0.179112,-1.247531
SPBC21C3.09c,-0.18397,-1.261017
SPBC4F6.05c,-0.187883,-1.208073
SPAC23G3.06,-0.249412,-1.256213
SPBC646.10c,-0.184235,-1.31634
SPAC652.01,-0.208803,-1.308261
SPBP4H10.05c,-0.197279,-1.353157
SPBP16F5.06,-0.288982,-1.344928
SPBC25B2.05,-0.313084,-1.343836
SPAC29E6.06c,-0.353675,-1.340971
SPCC4B3.07,-0.390039,-1.278887
SPAC1486.09,-0.359811,-1.000321
SPAC4A8.07c,-0.374974,-1.002259
SPBC17A3.01c,-0.372804,-1.035173
SPAC664.11,-0.375696,-1.054233
SPBC1861.08c,-0.427424,-1.032376
SPAPB1E7.03,-0.434646,-1.049665
SPAC1A6.05c,-0.429732,-1.102212
SPAC227.11c,-0.434776,-1.078955
SPAC30.03c,-0.406022,-1.163157
SPAC1565.06c,-0.426838,-1.150089
SPAC22H10.09,-0.477679,-1.181708
SPAC6B12.12,-0.526001,-1.1856
SPCC1672.05c,-0.538593,-1.156477
SPAC12G12.07c,-0.55263,-1.190583
SPAC1071.05,-0.564087,-1.206164
SPBC12C2.01c,-0.596637,-1.160372
