SystematicID,Gene,Product,S.cerevisiae_ortholog,Human_ortholog,RG_CLS,Validated/Group,ValidationCLS
SPAC1002.01,mrx11,mitochondrial expression network (MIOREX) component Mrx11,MRX11,,NA,no,
SPAC1002.02,pom34,nucleoporin Pom34,POM34,,NA,no,
SPAC1002.05c,jmj2,histone demethylase Jmj2,JHD2,"KDM5C,KDM5D,KDM5B,KDM5A",NA,no,
SPAC1002.06c,bqt2,bouquet formation protein Bqt2,,,NA,no,
SPAC1002.07c,,spermidine/spermine N1-acetyltransferase (predicted),,"SAT1,SAT2,SATL1",NA,no,
SPAC1002.12c,,succinate-semialdehyde dehydrogenase [NAD(P)+] (predicted),UGA2,ALDH5A1,NA,no,
SPAC1002.14,itt1,ubiquitin-protein ligase E3 involved in regulation of cytoplasmic translational termination (predicted),ITT1,RNF14,NA,no,
SPAC1002.17c,urg2,uracil phosphoribosyltransferase (predicted),FUR1,"UCK2,UCK1,UCKL1",long,no,
SPAC1002.18,urg3,"DUF1688 family fungal conserved protein, implicated in uracil or riboflavin metabolism",,,NA,no,
SPAC1002.19,urg1,GTP cyclohydrolase II Urg1 (predicted),,,NA,no,
SPAC1002.20,,Schizosaccharomyces pombe specific protein,,,NA,no,
SPAC1006.01,psp3,vacuolar serine protease Psp3 (predicted),"PRB1,YSP3",PCSK9,NA,no,
SPAC1006.03c,red1,RNA elimination defective protein Red1,,ZFC3H1,NA,no,
SPAC1006.04c,mcp3,Schizosaccharomyces specific protein Mcp3,,,NA,no,
SPAC1006.05c,och1,"alpha-1,6-mannosyltransferase Och1","OCH1,HOC1",,NA,no,
SPAC1006.06,rgf2,RhoGEF Rgf2,"ROM1,ROM2","NET1,ARHGEF3",NA,no,
SPAC1006.09,win1,MAP kinase kinase kinase Win1,"SSK22,SSK2",MAP3K4,NA,no,
SPAC1039.01,,amino acid transmembrane transporter (predicted),"UGA4,HNM1,TPO5",,NA,no,
SPAC1039.02,,"extracellular 5'-nucleotidase, human NT5E family (predicted)",YHR202W,NT5E,NA,no,
SPAC1039.03,,"esterase/lipase, implicated in cellular detoxification (predicted)",,,NA,no,
SPAC1039.04,,carboxylic acid transmembrane transporter (predicted),TNA1,"SLC17A1,SLC17A2,SLC17A3,SLC17A4,SLC17A5,SLC17A6,SLC17A7,SLC17A8",NA,no,
SPAC1039.05c,klf1,"transcription factor, zf-fungal binuclear cluster type Klf1",SDD4,,NA,no,
SPAC1039.06,,D-serine ammonia-lyase activity (predicted),DSD1,,NA,no,
SPAC1039.07c,,"aminotransferase class-III, possible transaminase, unknown specificity, implicated in amino acid or cofactor metabolism",,,NA,no,
SPAC1039.09,isp5,amino acid transmembrane transporter Isp5,"BAP2,TAT1,AGP1,BAP3,GNP1,CAN1,HIP1,GAP1,LYP1,ALP1,TAT2,PUT4,DIP5","SLC7A1,SLC7A2,SLC7A3,SLC7A4,SLC7A14",NA,no,
SPAC1039.10,mmf2,"mitochondrial matrix protein, YjgF family protein Mmf2, reactive intermediate imine deaminase A homolog (predicted)","HMF1,MMF1",RIDA,NA,no,
SPAC105.01c,kha1,plasma membrane potassium ion/proton antiporter Kha1 (predicted),KHA1,,NA,no,
SPAC105.02c,,"ankyrin repeat protein, protein phosphatase regulatory subunit, human PPP1R16A ortholog",YGL242C,PPP1R16A,NA,no,
SPAC105.03c,,transcription factor (predicted),DAL81,,NA,no,
